EffectiveTime,FieldName,Region,Value
04/01/2017 22:15,CO2_INTENSITY,ROI,462
04/01/2017 22:30,CO2_INTENSITY,ROI,471
04/01/2017 22:45,CO2_INTENSITY,ROI,473
04/01/2017 23:00,CO2_INTENSITY,ROI,464
04/01/2017 23:15,CO2_INTENSITY,ROI,469
04/01/2017 23:30,CO2_INTENSITY,ROI,468
04/01/2017 23:45,CO2_INTENSITY,ROI,470
05/01/2017 00:00,CO2_INTENSITY,ROI,464
05/01/2017 00:15,CO2_INTENSITY,ROI,460
05/01/2017 00:30,CO2_INTENSITY,ROI,474
05/01/2017 00:45,CO2_INTENSITY,ROI,462
05/01/2017 01:00,CO2_INTENSITY,ROI,460
05/01/2017 01:15,CO2_INTENSITY,ROI,461
05/01/2017 01:30,CO2_INTENSITY,ROI,475
05/01/2017 01:45,CO2_INTENSITY,ROI,467
05/01/2017 02:00,CO2_INTENSITY,ROI,464
05/01/2017 02:15,CO2_INTENSITY,ROI,473
05/01/2017 02:30,CO2_INTENSITY,ROI,458
05/01/2017 02:45,CO2_INTENSITY,ROI,466
05/01/2017 03:00,CO2_INTENSITY,ROI,485
05/01/2017 03:15,CO2_INTENSITY,ROI,488
05/01/2017 03:30,CO2_INTENSITY,ROI,479
05/01/2017 03:45,CO2_INTENSITY,ROI,482
05/01/2017 04:00,CO2_INTENSITY,ROI,481
05/01/2017 04:15,CO2_INTENSITY,ROI,477
05/01/2017 04:30,CO2_INTENSITY,ROI,477
05/01/2017 04:45,CO2_INTENSITY,ROI,485
05/01/2017 05:00,CO2_INTENSITY,ROI,481
05/01/2017 05:15,CO2_INTENSITY,ROI,480
05/01/2017 05:30,CO2_INTENSITY,ROI,464
05/01/2017 05:45,CO2_INTENSITY,ROI,469
05/01/2017 06:00,CO2_INTENSITY,ROI,469
05/01/2017 06:15,CO2_INTENSITY,ROI,452
05/01/2017 06:30,CO2_INTENSITY,ROI,449
05/01/2017 06:45,CO2_INTENSITY,ROI,443
05/01/2017 07:00,CO2_INTENSITY,ROI,446
05/01/2017 07:15,CO2_INTENSITY,ROI,437
05/01/2017 07:30,CO2_INTENSITY,ROI,429
05/01/2017 07:45,CO2_INTENSITY,ROI,424
05/01/2017 08:00,CO2_INTENSITY,ROI,422
05/01/2017 08:15,CO2_INTENSITY,ROI,410
05/01/2017 08:30,CO2_INTENSITY,ROI,410
05/01/2017 08:45,CO2_INTENSITY,ROI,413
05/01/2017 09:00,CO2_INTENSITY,ROI,415
05/01/2017 09:15,CO2_INTENSITY,ROI,403
05/01/2017 09:30,CO2_INTENSITY,ROI,406
05/01/2017 09:45,CO2_INTENSITY,ROI,395
05/01/2017 10:00,CO2_INTENSITY,ROI,391
05/01/2017 10:15,CO2_INTENSITY,ROI,394
05/01/2017 10:30,CO2_INTENSITY,ROI,408
05/01/2017 10:45,CO2_INTENSITY,ROI,406
05/01/2017 11:00,CO2_INTENSITY,ROI,394
05/01/2017 11:15,CO2_INTENSITY,ROI,393
05/01/2017 11:30,CO2_INTENSITY,ROI,395
05/01/2017 11:45,CO2_INTENSITY,ROI,390
05/01/2017 12:00,CO2_INTENSITY,ROI,389
05/01/2017 12:15,CO2_INTENSITY,ROI,388
05/01/2017 12:30,CO2_INTENSITY,ROI,387
05/01/2017 12:45,CO2_INTENSITY,ROI,391
05/01/2017 13:00,CO2_INTENSITY,ROI,395
05/01/2017 13:15,CO2_INTENSITY,ROI,392
05/01/2017 13:30,CO2_INTENSITY,ROI,388
05/01/2017 13:45,CO2_INTENSITY,ROI,386
05/01/2017 14:00,CO2_INTENSITY,ROI,387
05/01/2017 14:15,CO2_INTENSITY,ROI,381
05/01/2017 14:30,CO2_INTENSITY,ROI,389
05/01/2017 14:45,CO2_INTENSITY,ROI,389
05/01/2017 15:00,CO2_INTENSITY,ROI,384
05/01/2017 15:15,CO2_INTENSITY,ROI,390
05/01/2017 15:30,CO2_INTENSITY,ROI,390
05/01/2017 15:45,CO2_INTENSITY,ROI,378
05/01/2017 16:00,CO2_INTENSITY,ROI,371
05/01/2017 16:15,CO2_INTENSITY,ROI,370
05/01/2017 16:30,CO2_INTENSITY,ROI,365
05/01/2017 16:45,CO2_INTENSITY,ROI,366
05/01/2017 17:00,CO2_INTENSITY,ROI,373
05/01/2017 17:15,CO2_INTENSITY,ROI,368
05/01/2017 17:30,CO2_INTENSITY,ROI,374
05/01/2017 17:45,CO2_INTENSITY,ROI,366
05/01/2017 18:00,CO2_INTENSITY,ROI,357
05/01/2017 18:15,CO2_INTENSITY,ROI,376
05/01/2017 18:30,CO2_INTENSITY,ROI,360
05/01/2017 18:45,CO2_INTENSITY,ROI,350
05/01/2017 19:00,CO2_INTENSITY,ROI,358
05/01/2017 19:15,CO2_INTENSITY,ROI,378
05/01/2017 19:30,CO2_INTENSITY,ROI,380
05/01/2017 19:45,CO2_INTENSITY,ROI,374
05/01/2017 20:00,CO2_INTENSITY,ROI,382
05/01/2017 20:15,CO2_INTENSITY,ROI,384
05/01/2017 20:30,CO2_INTENSITY,ROI,383
05/01/2017 20:45,CO2_INTENSITY,ROI,388
05/01/2017 21:00,CO2_INTENSITY,ROI,380
05/01/2017 21:15,CO2_INTENSITY,ROI,389
05/01/2017 21:30,CO2_INTENSITY,ROI,389
05/01/2017 21:45,CO2_INTENSITY,ROI,393
05/01/2017 22:00,CO2_INTENSITY,ROI,398
05/01/2017 22:15,CO2_INTENSITY,ROI,405
05/01/2017 22:30,CO2_INTENSITY,ROI,411
05/01/2017 22:45,CO2_INTENSITY,ROI,384
05/01/2017 23:00,CO2_INTENSITY,ROI,365
05/01/2017 23:15,CO2_INTENSITY,ROI,363
05/01/2017 23:30,CO2_INTENSITY,ROI,357
05/01/2017 23:45,CO2_INTENSITY,ROI,365
06/01/2017 00:00,CO2_INTENSITY,ROI,379
06/01/2017 00:15,CO2_INTENSITY,ROI,366
06/01/2017 00:30,CO2_INTENSITY,ROI,367
06/01/2017 00:45,CO2_INTENSITY,ROI,381
06/01/2017 01:00,CO2_INTENSITY,ROI,371
06/01/2017 01:15,CO2_INTENSITY,ROI,367
06/01/2017 01:30,CO2_INTENSITY,ROI,360
06/01/2017 01:45,CO2_INTENSITY,ROI,359
06/01/2017 02:00,CO2_INTENSITY,ROI,337
06/01/2017 02:15,CO2_INTENSITY,ROI,337
06/01/2017 02:30,CO2_INTENSITY,ROI,349
06/01/2017 02:45,CO2_INTENSITY,ROI,353
06/01/2017 03:00,CO2_INTENSITY,ROI,370
06/01/2017 03:15,CO2_INTENSITY,ROI,352
06/01/2017 03:30,CO2_INTENSITY,ROI,356
06/01/2017 03:45,CO2_INTENSITY,ROI,371
06/01/2017 04:00,CO2_INTENSITY,ROI,371
